mohallah_name,village_name,union_council_name,tehsil_name,district_name
Tissar Pati Duyom,Tissar,Tissar,Tissar,Skardu
Tissar Pati Awal,Tissar,Tissar,Tissar,Skardu
Tissar,Tissar,Tissar,Tissar,Skardu
Chutron,Doghro,Tissar,Tissar,Skardu
Niaslo,Doghro,Tissar,Tissar,Skardu
Hamachel,Doghro,Tissar,Tissar,Skardu
Demal,Doghro,Tissar,Tissar,Skardu
Thorgo,Doghro,Tissar,Tissar,Skardu
Doghro,Doghro,Tissar,Tissar,Skardu
Katpana,Katpana,Shagari Khurd,Skardu,Skardu
Yar Khor,Katpana,Shagari Khurd,Skardu,Skardu
Syed Khor,Katpana,Shagari Khurd,Skardu,Skardu
Thor Khor,Katpana,Shagari Khurd,Skardu,Skardu
Homos Gang,Katpana,Shagari Khurd,Skardu,Skardu
God pi Khor,Katpana,Shagari Khurd,Skardu,Skardu
Skil Grong,Sundus,Shagari Khurd,Skardu,Skardu
Gongma Grong,Sundus,Shagari Khurd,Skardu,Skardu
Gond,Sundus,Shagari Khurd,Skardu,Skardu
Maqponsar,New Ranga,Shagari Khurd,Skardu,Skardu
Brolmo II,New Ranga,Shagari Khurd,Skardu,Skardu
New Ranga,New Ranga,Shagari Khurd,Skardu,Skardu
Khlang Ranga,New Ranga,Shagari Khurd,Skardu,Skardu
Mehdi Colony,New Ranga,Shagari Khurd,Skardu,Skardu
Murtaza Colony,New Ranga,Shagari Khurd,Skardu,Skardu
Hergisha,New Ranga,Shagari Khurd,Skardu,Skardu
Abu Talib,New Ranga,Shagari Khurd,Skardu,Skardu
Manzoor Colony,New Ranga,Shagari Khurd,Skardu,Skardu
Astana Bala,Astana,Shagari Khurd,Skardu,Skardu
Astana Pain,Astana,Shagari Khurd,Skardu,Skardu
Astana Brolmo,Astana,Shagari Khurd,Skardu,Skardu
Astana Gultari Muhlla,Astana,Shagari Khurd,Skardu,Skardu
Girakh Colony,Astana,Shagari Khurd,Skardu,Skardu
Mashang Colony,Astana,Shagari Khurd,Skardu,Skardu
Gond,Kushmara,Shagari Khurd,Skardu,Skardu
Hussaini,Kushmara,Shagari Khurd,Skardu,Skardu
Al- Asar,Kushmara,Shagari Khurd,Skardu,Skardu
Masomeen,Kushmara,Shagari Khurd,Skardu,Skardu
Kushmara,Kushmara,Shagari Khurd,Skardu,Skardu
Majan Pur,Kushmara,Shagari Khurd,Skardu,Skardu
Madina Colony,Shagari Khurd,Shagari Khurd,Skardu,Skardu
Wali-ul Asar,Shagari Khurd,Shagari Khurd,Skardu,Skardu
Nianur,Shagari Khurd,Shagari Khurd,Skardu,Skardu
Borgi Nala,Shagari Khurd,Shagari Khurd,Skardu,Skardu
Fapa,Shagari Khurd,Shagari Khurd,Skardu,Skardu
Kharpito,Shagari Khurd,Shagari Khurd,Skardu,Skardu
Chorspa,Shagari Khurd,Shagari Khurd,Skardu,Skardu
Balghar,Shagari Khurd,Shagari Khurd,Skardu,Skardu
Wahdat Colony,Shagari Khurd,Shagari Khurd,Skardu,Skardu
Bus Stand,Shagari Khurd,Shagari Khurd,Skardu,Skardu
Babul Hawaig Colony,Shagari Khurd,Shagari Khurd,Skardu,Skardu
Bati Khor,Rgayul,Shagari Khurd,Skardu,Skardu
Spang Thang,Rgayul,Shagari Khurd,Skardu,Skardu
Khachay Khor,Rgayul,Shagari Khurd,Skardu,Skardu
Chonpa Khor,Rgayul,Shagari Khurd,Skardu,Skardu
Rgayul,Rgayul,Shagari Khurd,Skardu,Skardu
Sarkhor,Rgayul,Shagari Khurd,Skardu,Skardu
Osay Prang,Rgayul,Shagari Khurd,Skardu,Skardu
Gultari Muhalla,Rgayul,Shagari Khurd,Skardu,Skardu
Ansari Muhalla,Rgayul,Shagari Khurd,Skardu,Skardu
Bada Gam,Sadpara,Shagari Khurd,Skardu,Skardu
Skil Grong,Sadpara,Shagari Khurd,Skardu,Skardu
Malpain,Sadpara,Shagari Khurd,Skardu,Skardu
Dagdi,Sadpara,Shagari Khurd,Skardu,Skardu
Mirakh,Sadpara,Shagari Khurd,Skardu,Skardu
Imama Bargah Kalan,Imam bargah Kalan,Ward No 1,Skardu,Skardu
Jaffari Muhala,Imam bargah Kalan,Ward No 1,Skardu,Skardu
College Area,Imam bargah Kalan,Ward No 1,Skardu,Skardu
Yadgar Chowk,Imam bargah Kalan,Ward No 1,Skardu,Skardu
Tufail Colony,Imam bargah Kalan,Ward No 1,Skardu,Skardu
Godong Muhalla,Imam bargah Kalan,Ward No 1,Skardu,Skardu
Police Line,Imam bargah Kalan,Ward No 1,Skardu,Skardu
Uper Stadiam,Imam bargah Kalan,Ward No 1,Skardu,Skardu
Panjatani Muhalla,Imam bargah Kalan,Ward No 1,Skardu,Skardu
Eidgah Colony,Imam bargah Kalan,Ward No 1,Skardu,Skardu
Khorasan Muhalla,Imam bargah Kalan,Ward No 1,Skardu,Skardu
Abasil Muhalla,Imam bargah Kalan,Ward No 1,Skardu,Skardu
Gazi Muhalla I,Imam bargah Kalan,Ward No 1,Skardu,Skardu
Gazi Muhalla II,Imam bargah Kalan,Ward No 1,Skardu,Skardu
Brolmo Colony Eidgah,Imam bargah Kalan,Ward No 1,Skardu,Skardu
Hussaini Muhalla,Imam bargah Kalan,Ward No 1,Skardu,Skardu
Gultari Muhalla Eidgah,Imam bargah Kalan,Ward No 1,Skardu,Skardu
Bilal Masjid Area,Imam bargah Kalan,Ward No 1,Skardu,Skardu
Burhan Colony,Imam bargah Kalan,Ward No 1,Skardu,Skardu
Sukmaidan,Sukamaidan,Ward No 2,Skardu,Skardu
Peshawari Muhalla,Sukamaidan,Ward No 2,Skardu,Skardu
Ara Mashain Area,Sukamaidan,Ward No 2,Skardu,Skardu
Lasupi Khor,Sukamaidan,Ward No 2,Skardu,Skardu
Syed Khor,Sukamaidan,Ward No 2,Skardu,Skardu
Shaheed Colony,Sukamaidan,Ward No 2,Skardu,Skardu
Hargisa Area,Sukamaidan,Ward No 2,Skardu,Skardu
Al abbas Hospital Area,Sukamaidan,Ward No 2,Skardu,Skardu
Zangar Khaor,Zangar Khor,Ward No 3,Skardu,Skardu
Nangapi Khor,Zangar Khor,Ward No 3,Skardu,Skardu
Kawpi Khor,Zangar Khor,Ward No 3,Skardu,Skardu
Gangopi,Gangopi,Ward No 4,Skardu,Skardu
Jamia Masjid Area,Gangopi,Ward No 4,Skardu,Skardu
Nagholi Spang ,Gangopi,Ward No 4,Skardu,Skardu
Ranthakkhor,Gangopi,Ward No 4,Skardu,Skardu
Amir Shahid Chowk,Gangopi,Ward No 4,Skardu,Skardu
Ali Chowk,Gangopi,Ward No 4,Skardu,Skardu
Hakeem Colony,Gangopi,Ward No 4,Skardu,Skardu
Nagholi Spang 2,Gangopi,Ward No 4,Skardu,Skardu
Khragrong,Khragrong,Ward No 5,Skardu,Skardu
Jinah Town,Aga Hadi Chowk,Ward No 6,Skardu,Skardu
Alamdar Chowk,Aga Hadi Chowk,Ward No 6,Skardu,Skardu
DFO Office Area,Aga Hadi Chowk,Ward No 6,Skardu,Skardu
Khargrong Qalwat,Aga Hadi Chowk,Ward No 6,Skardu,Skardu
Hasnain Nagar,Aga Hadi Chowk,Ward No 6,Skardu,Skardu
Habib Colony,Aga Hadi Chowk,Ward No 6,Skardu,Skardu
Lasupi Khor,Lasupi Khor,Ward No 7,Skardu,Skardu
Hassan Colony ,Lasupi Khor,Ward No 7,Skardu,Skardu
Shinkhani Gond,Lasupi Khor,Ward No 7,Skardu,Skardu
Sazgar Khor,Sazgar Khor,Ward No 8,Skardu,Skardu
K-2 Motle Area,Sazgar Khor,Ward No 8,Skardu,Skardu
Chonpa Khor,Sazgar Khor,Ward No 8,Skardu,Skardu
Chumik,Sazgar Khor,Ward No 8,Skardu,Skardu
Chashma Bazar,Sazgar Khor,Ward No 8,Skardu,Skardu
Karfopi Toq,Sazgar Khor,Ward No 8,Skardu,Skardu
DC house Area,DC House Krasmathang,Ward No 9,Skardu,Skardu
Hali Paid AREA,DC House Krasmathang,Ward No 9,Skardu,Skardu
Khombo Shagarn Gond,DC House Krasmathang,Ward No 9,Skardu,Skardu
Hospital Area,DC House Krasmathang,Ward No 9,Skardu,Skardu
Krasmathang,DC House Krasmathang,Ward No 9,Skardu,Skardu
Zaheer Abad,DC House Krasmathang,Ward No 9,Skardu,Skardu
Hameed Gard,Hameed Gard,Ward No 9,Skardu,Skardu
Patwal,Patwal,Ward No 10,Skardu,Skardu
Khilatoq,Patwal,Ward No 10,Skardu,Skardu
Danipi Khor,Patwal,Ward No 10,Skardu,Skardu
Gamba Grong,Gamba Grong,Ward No 11,Skardu,Skardu
Nan xoq,Gamba Grong,Ward No 11,Skardu,Skardu
Kuro,Gamba Grong,Ward No 11,Skardu,Skardu
Toq,Gamba Grong,Ward No 11,Skardu,Skardu
Gogma Grong,Gamba Grong,Ward No 11,Skardu,Skardu
Hussain Shahpi Khor,Gamba Grong,Ward No 11,Skardu,Skardu
Jaffar Aabad / Pakora,Gamba Grong,Ward No 11,Skardu,Skardu
Api Xoq,Api Xoq,Ward No 12,Skardu,Skardu
Ranthaq Khor,Api Xoq,Ward No 12,Skardu,Skardu
Alipi Khor,Api Xoq,Ward No 12,Skardu,Skardu
Saythnag 1,Api Xoq,Ward No 12,Skardu,Skardu
"Public School, Area",Api Xoq,Ward No 12,Skardu,Skardu
Saythang II,Api Xoq,Ward No 12,Skardu,Skardu
Marfi Colony,Api Xoq,Ward No 12,Skardu,Skardu
Shasudin Town,Api Xoq,Ward No 12,Skardu,Skardu
Poq xoq,Api Xoq,Ward No 12,Skardu,Skardu
Satellite Town,Satellite Town,Ward No 13,Skardu,Skardu
Ali Abad I,Satellite Town,Ward No 13,Skardu,Skardu
Ali Abad II,Satellite Town,Ward No 13,Skardu,Skardu
Abbas Town,Satellite Town,Ward No 13,Skardu,Skardu
Govt. Colony,Satellite Town,Ward No 13,Skardu,Skardu
Haji GAM,Haji Gam,Ward No 14,Skardu,Skardu
Share thang,Haji Gam,Ward No 14,Skardu,Skardu
Manthal,Haji Gam,Ward No 14,Skardu,Skardu
Akram Abad,Haji Gam,Ward No 14,Skardu,Skardu
Mosa Line,Haji Gam,Ward No 14,Skardu,Skardu
Akhon Colony Sadpara Road,Haji Gam,Ward No 14,Skardu,Skardu
Borsing,Hussain Abad,Hussain Abad,Skardu,Skardu
Drzes,Hussain Abad,Hussain Abad,Skardu,Skardu
Harisa,Hussain Abad,Hussain Abad,Skardu,Skardu
Mongrong,Hussain Abad,Hussain Abad,Skardu,Skardu
Dakhora,Hussain Abad,Hussain Abad,Skardu,Skardu
Gramba,Hussain Abad,Hussain Abad,Skardu,Skardu
Braqchan,Hussain Abad,Hussain Abad,Skardu,Skardu
Jafaria,Hussain Abad,Hussain Abad,Skardu,Skardu
Reging,Hussain Abad,Hussain Abad,Skardu,Skardu
Byafo,Hussain Abad,Hussain Abad,Skardu,Skardu
Sonchay Zramba,Hussain Abad,Hussain Abad,Skardu,Skardu
Ban,Hussain Abad,Hussain Abad,Skardu,Skardu
Zgngpia,Hussain Abad,Hussain Abad,Skardu,Skardu
Khombo Xoq,Hussain Abad,Hussain Abad,Skardu,Skardu
Razwia,Hussain Abad,Hussain Abad,Skardu,Skardu
Nala,Hussain Abad,Hussain Abad,Skardu,Skardu
New Hussain Abad,Hussain Abad,Hussain Abad,Skardu,Skardu
Nala Hussain Abad,Hussain Abad,Hussain Abad,Skardu,Skardu
Thorgo bala,Thorgo,Hussain Abad,Skardu,Skardu
Thorgo Pain,Thorgo,Hussain Abad,Skardu,Skardu
Gamostor,Thorgo,Hussain Abad,Skardu,Skardu
Nanxoq,Thorgo,Hussain Abad,Skardu,Skardu
Yarkhor,Gole,Gole,Skardu,Skardu
sknagdong,Gole,Gole,Skardu,Skardu
Skil khor,Gole,Gole,Skardu,Skardu
Tasu,Gole,Gole,Skardu,Skardu
Grong Skil,Sermik,Gole,Skardu,Skardu
Dong,Sermik,Gole,Skardu,Skardu
Yuljok,Sermik,Gole,Skardu,Skardu
Sosar,Sermik,Gole,Skardu,Skardu
Hassanpa,Sermik,Gole,Skardu,Skardu
Ali mir,Sermik,Gole,Skardu,Skardu
Broq chat,Doro,Gole,Skardu,Skardu
Korako,Doro,Gole,Skardu,Skardu
Shila,Shila,Gole,Skardu,Skardu
Ghoro,Nar,Gole,Skardu,Skardu
Narbocho,Nar,Gole,Skardu,Skardu
Nar,Nar,Gole,Skardu,Skardu
Longma,Kawardu,Kawardu,Gamba,Skardu
Haider Abad,Kawardu,Kawardu,Gamba,Skardu
Ali Abad,Kawardu,Kawardu,Gamba,Skardu
Khar Kawardu,Kawardu,Kawardu,Gamba,Skardu
Zgang,Kawardu,Kawardu,Gamba,Skardu
Astana Kawardu,Kawardu,Kawardu,Gamba,Skardu
Muntazir Abad Bala,Kawardu,Kawardu,Gamba,Skardu
Muntazir Abad Pain,Kawardu,Kawardu,Gamba,Skardu
Hasnain Abad,Kawardu,Kawardu,Gamba,Skardu
Chamang,Kawardu,Kawardu,Gamba,Skardu
Dahang,Kawardu,Kawardu,Gamba,Skardu
Xar Bar,Kawardu,Kawardu,Gamba,Skardu
Nazim Abad,Kawardu,Kawardu,Gamba,Skardu
Gulshan Abad,Kawardu,Kawardu,Gamba,Skardu
Maqpon Abad,Kawardu,Kawardu,Gamba,Skardu
Odho,Qumrah,Kawardu,Gamba,Skardu
Abbas Abad,Qumrah,Kawardu,Gamba,Skardu
Ali Abad,Qumrah,Kawardu,Gamba,Skardu
Shot Qumra,Qumrah,Kawardu,Gamba,Skardu
Bala Shagharthang,Shagharthang,Kachura,Gamba,Skardu
Pain Shagharthang,Shagharthang,Kachura,Gamba,Skardu
Bulcho,Shagharthang,Kachura,Gamba,Skardu
Stakchan,Shagharthang,Kachura,Gamba,Skardu
Soq,Shagharthang,Kachura,Gamba,Skardu
Shaheen Abad,Kachura,Kachura,Gamba,Skardu
Ahmad Abad,Kachura,Kachura,Gamba,Skardu
Syed Abad,Kachura,Kachura,Gamba,Skardu
Qasim Abad,Kachura,Kachura,Gamba,Skardu
Xoqkha,Kachura,Kachura,Gamba,Skardu
Gulshan Abad,Kachura,Kachura,Gamba,Skardu
Kandor,Kachura,Kachura,Gamba,Skardu
Boqpa,Kachura,Kachura,Gamba,Skardu
Padang,Kachura,Kachura,Gamba,Skardu
Galcho,Kachura,Kachura,Gamba,Skardu
Mardacho,Kachura,Kachura,Gamba,Skardu
Pondas,Kachura,Kachura,Gamba,Skardu
Gazi Abad,Kachura,Kachura,Gamba,Skardu
garbong,Kachura,Kachura,Gamba,Skardu
Basingo Bala,Basho,Kachura,Gamba,Skardu
Gabkhor,Basho,Kachura,Gamba,Skardu
Krabathang,Basho,Kachura,Gamba,Skardu
Paldu,Basho,Kachura,Gamba,Skardu
Farmashot,Basho,Kachura,Gamba,Skardu
Sultan Abad,Basho,Kachura,Gamba,Skardu
Maito,Basho,Kachura,Gamba,Skardu
Matilo,Basho,Kachura,Gamba,Skardu
Bathang,Basho,Kachura,Gamba,Skardu
Khar Basho,Basho,Kachura,Gamba,Skardu
Gontho,Basho,Kachura,Gamba,Skardu
Nazim Abad,Basho,Kachura,Gamba,Skardu
Khowan,Basho,Kachura,Gamba,Skardu
Stehehla,Basho,Kachura,Gamba,Skardu
Batumal,Basho,Kachura,Gamba,Skardu
Gamba,Gamba,Shagari Kalan,Gamba,Skardu
Balay Grong,Gamba,Shagari Kalan,Gamba,Skardu
Sadat Colony,Gamba,Shagari Kalan,Gamba,Skardu
Garbi,Gamba,Shagari Kalan,Gamba,Skardu
Sadiq Abad,Gamba,Shagari Kalan,Gamba,Skardu
Mangar,Gamba,Shagari Kalan,Gamba,Skardu
Sondaypa,Gamba,Shagari Kalan,Gamba,Skardu
New Hussain Abad Gamba,Gamba,Shagari Kalan,Gamba,Skardu
Abbas Town,Gamba,Shagari Kalan,Gamba,Skardu
Barxoq,Gamba,Shagari Kalan,Gamba,Skardu
Naghlonpa,Gamba,Shagari Kalan,Gamba,Skardu
Arif Abad,Gamba,Shagari Kalan,Gamba,Skardu
Airport Area,Gamba,Shagari Kalan,Gamba,Skardu
Ranga Gamba Gronh,Ranga,Shagari Kalan,Gamba,Skardu
Thakorpi Khor,Ranga,Shagari Kalan,Gamba,Skardu
Balti Khor,Ranga,Shagari Kalan,Gamba,Skardu
Malpor,Ranga,Shagari Kalan,Gamba,Skardu
Yarkhor,Ranga,Shagari Kalan,Gamba,Skardu
Mondopi,Ranga,Shagari Kalan,Gamba,Skardu
Brasta,Ranga,Shagari Kalan,Gamba,Skardu
Zasna,Zasna,Shagari Kalan,Gamba,Skardu
Shairipa ,Hoto,Shagari Kalan,Gamba,Skardu
Fishopa,Hoto,Shagari Kalan,Gamba,Skardu
Mala Khor Gond,Hoto,Shagari Kalan,Gamba,Skardu
Syedpi Khor,Hoto,Shagari Kalan,Gamba,Skardu
Hoto Ranga,Hoto,Shagari Kalan,Gamba,Skardu
Pakora,Hoto,Shagari Kalan,Gamba,Skardu
Bordo,Shagari Kalan,Shagari Kalan,Gamba,Skardu
Chomik,Shagari Kalan,Shagari Kalan,Gamba,Skardu
Dramba,Shagari Kalan,Shagari Kalan,Gamba,Skardu
Langkhong,Shagari Kalan,Shagari Kalan,Gamba,Skardu
Arompa,Shagari Kalan,Shagari Kalan,Gamba,Skardu
Grongstot,Shagari Kalan,Shagari Kalan,Gamba,Skardu
Shagaran,Shagari Kalan,Shagari Kalan,Gamba,Skardu
Baschar,Shagari Kalan,Shagari Kalan,Gamba,Skardu
Monkhor,Shagari Kalan,Shagari Kalan,Gamba,Skardu
Shinkhanpa,Shagari Kalan,Shagari Kalan,Gamba,Skardu
Mondoq,Shagari Kalan,Shagari Kalan,Gamba,Skardu
Monapa,Shagari Kalan,Shagari Kalan,Gamba,Skardu
Goshopa,Shagari Kalan,Shagari Kalan,Gamba,Skardu
Gamba Xoq,Shagari Kalan,Shagari Kalan,Gamba,Skardu
Hassan Abad,Shagari Kalan,Shagari Kalan,Gamba,Skardu
New Haassan Abad,Shagari Kalan,Shagari Kalan,Gamba,Skardu
Astori Muhalla,Shagari Kalan,Shagari Kalan,Gamba,Skardu
Haidar Abad,Shagari Kalan,Shagari Kalan,Gamba,Skardu
Gongma Mala khor,Shagari Kalan,Shagari Kalan,Gamba,Skardu
Choipa,Shagari Kalan,Shagari Kalan,Gamba,Skardu
Banzi,Shagari Kalan,Shagari Kalan,Gamba,Skardu
Qazi Mala Khor,Shagari Kalan,Shagari Kalan,Gamba,Skardu
Shaheed Jaffar Colony,Shagari Kalan,Shagari Kalan,Gamba,Skardu
Gapkhor,Shagari Bala,Shagari Kalan,Gamba,Skardu
Yarkhor,Shagari Bala,Shagari Kalan,Gamba,Skardu
Chonka Khor,Shagari Bala,Shagari Kalan,Gamba,Skardu
Bansa,Shagari Bala,Shagari Kalan,Gamba,Skardu
Basnit,Shagari Bala,Shagari Kalan,Gamba,Skardu
Shagari Bala,Shagari Bala,Shagari Kalan,Gamba,Skardu
Thang Chunda,Chunda,Chunda,Gamba,Skardu
Boshapa,Chunda,Chunda,Gamba,Skardu
Yarkhor,Chunda,Chunda,Gamba,Skardu
Sajjadia,Chunda,Chunda,Gamba,Skardu
Shotaipa,Chunda,Chunda,Gamba,Skardu
Mahanpa,Chunda,Chunda,Gamba,Skardu
Khorpangpa,Chunda,Chunda,Gamba,Skardu
Donda,Chunda,Chunda,Gamba,Skardu
Bara,Chunda,Chunda,Gamba,Skardu
Daropa,Chunda,Chunda,Gamba,Skardu
Firaba,Chunda,Chunda,Gamba,Skardu
Gonopa,Chunda,Chunda,Gamba,Skardu
Broskor,Chunda,Chunda,Gamba,Skardu
Gamba,Chunda,Chunda,Gamba,Skardu
Zapa,Chunda,Chunda,Gamba,Skardu
Longma,Chunda,Chunda,Gamba,Skardu
Broq Grong,Tandal,Chunda,Gamba,Skardu
Balti Grong,Tandal,Chunda,Gamba,Skardu
Shongs,Tandal,Chunda,Gamba,Skardu
Shordas,Tandal,Chunda,Gamba,Skardu
Kraldu,Tandal,Chunda,Gamba,Skardu
Kharbu,Tandal,Chunda,Gamba,Skardu
Walipa,Tinjos,Chunda,Gamba,Skardu
Kharchongpa,Tinjos,Chunda,Gamba,Skardu
Bangpaya,Tinjos,Chunda,Gamba,Skardu
Braq Jing,Tinjos,Chunda,Gamba,Skardu
Rogmaya,Tinjos,Chunda,Gamba,Skardu
Bordo,Tinjos,Chunda,Gamba,Skardu
Matyal,Shingo Shigar,Shingo Shigar,Gultari,Skardu
Ginyal,Shingo Shigar,Shingo Shigar,Gultari,Skardu
Thali,Shingo Shigar,Shingo Shigar,Gultari,Skardu
Sho Wai,Shingo Shigar,Shingo Shigar,Gultari,Skardu
Akbar Abad,Shingo Shigar,Shingo Shigar,Gultari,Skardu
Nogam,Shingo Shigar,Shingo Shigar,Gultari,Skardu
Hussain Abad,Shingo Shigar,Shingo Shigar,Gultari,Skardu
Dodyal,Shingo Shigar,Shingo Shigar,Gultari,Skardu
Krabosh,Shingo Shigar,Shingo Shigar,Gultari,Skardu
Krabosh Das,Shingo Shigar,Shingo Shigar,Gultari,Skardu
Hunthali,Shingo Shigar,Shingo Shigar,Gultari,Skardu
Pato Thali,Shingo Shigar,Shingo Shigar,Gultari,Skardu
Baikhalo,Fultox,Gultari,Gultari,Skardu
Tangryal,Fultox,Gultari,Gultari,Skardu
Bakhayalo Pain,Fultox,Gultari,Gultari,Skardu
Harimal,Fultox,Gultari,Gultari,Skardu
Matyal,Fultox,Gultari,Gultari,Skardu
Domyal,Fultox,Gultari,Gultari,Skardu
Ochay,Fultox,Gultari,Gultari,Skardu
Machkyal,Fultox,Gultari,Gultari,Skardu
Barbat,Fultox,Gultari,Gultari,Skardu
Boyal,Fultox,Gultari,Gultari,Skardu
Das,Fultox,Gultari,Gultari,Skardu
Shaqma,Fultox,Gultari,Gultari,Skardu
Babachan,Fultox,Gultari,Gultari,Skardu
Chondo,Fultox,Gultari,Gultari,Skardu
Konar,Gultari,Gultari,Gultari,Skardu
Chamalong,Gultari,Gultari,Gultari,Skardu
Shawaran,Gultari,Gultari,Gultari,Skardu
Somolok,Gultari,Gultari,Gultari,Skardu
Chota Das,Gultari,Gultari,Gultari,Skardu
Akhari Das Gultrai,Gultari,Gultari,Gultari,Skardu
Khar,Gultari,Gultari,Gultari,Skardu
Boqbos,Gultari,Gultari,Gultari,Skardu
Yokma,Gultari,Gultari,Gultari,Skardu
Borthang,Gultari,Gultari,Gultari,Skardu
Bada Das,Gultari,Gultari,Gultari,Skardu
Bonyal,Gultari,Gultari,Gultari,Skardu
Yolbu,Gultari,Gultari,Gultari,Skardu
Franshart,Gultari,Gultari,Gultari,Skardu
Baghardu,Baghardu,Tormik,Roundu,Skardu
Baghardu Thang,Baghardu,Tormik,Roundu,Skardu
Sordas,Baghardu,Tormik,Roundu,Skardu
Sari,Baghardu,Tormik,Roundu,Skardu
Sordas,Tormik,Tormik,Roundu,Skardu
Tongos,Tormik,Tormik,Roundu,Skardu
Bagicha,Tormik,Tormik,Roundu,Skardu
Khomra,Tormik,Tormik,Roundu,Skardu
Mordu ,Tormik,Tormik,Roundu,Skardu
Braqchan Daso,Tormik,Tormik,Roundu,Skardu
Badapa,Tormik,Tormik,Roundu,Skardu
Laging,Tormik,Tormik,Roundu,Skardu
Malding,Tormik,Tormik,Roundu,Skardu
Toq,Tormik,Tormik,Roundu,Skardu
Kashipa,Tormik,Tormik,Roundu,Skardu
Chaypa,Tormik,Tormik,Roundu,Skardu
Barsskor,Tormik,Tormik,Roundu,Skardu
Nagogpa,Tormik,Tormik,Roundu,Skardu
Pano,Tormik,Tormik,Roundu,Skardu
Yuchong,Tormik,Tormik,Roundu,Skardu
Pasa,Tormik,Tormik,Roundu,Skardu
Chomik,Tormik,Tormik,Roundu,Skardu
Bazgang,Tormik,Tormik,Roundu,Skardu
Koshomal,Tormik,Tormik,Roundu,Skardu
Dgalsa khor,Tormik,Tormik,Roundu,Skardu
Harmal,Tormik,Tormik,Roundu,Skardu
Sorbo,Tormik,Tormik,Roundu,Skardu
Mordu Daso,Tormik,Tormik,Roundu,Skardu
Lagap,Stak,Stak,Roundu,Skardu
rgalmo Kacha,Stak,Stak,Roundu,Skardu
Thranos,Stak,Stak,Roundu,Skardu
Chotsom,Stak,Stak,Roundu,Skardu
Karchong,Stak,Stak,Roundu,Skardu
Godaypa,Stak,Stak,Roundu,Skardu
Shano,Stak,Stak,Roundu,Skardu
Tokla,Stak,Stak,Roundu,Skardu
Gamba Tokla,Stak,Stak,Roundu,Skardu
Gogma Chosa,Stak,Stak,Roundu,Skardu
Gamba Chosa,Stak,Stak,Roundu,Skardu
Kharkhor,Stak,Stak,Roundu,Skardu
Mopa,Stak,Stak,Roundu,Skardu
Balay Grong,Stak,Stak,Roundu,Skardu
Khairgrag,Stak,Stak,Roundu,Skardu
Triko,Thowar,Thowar,Roundu,Skardu
Malakhor,Thowar,Thowar,Roundu,Skardu
Skamgond,Thowar,Thowar,Roundu,Skardu
Dambo Das,Thowar,Thowar,Roundu,Skardu
Harbor,Thowar,Thowar,Roundu,Skardu
Skyo,Thowar,Thowar,Roundu,Skardu
Bala char,Thowar,Thowar,Roundu,Skardu
Syamalcho,Thowar,Thowar,Roundu,Skardu
Mastani gong,Thowar,Thowar,Roundu,Skardu
Zdangpa,Thowar,Thowar,Roundu,Skardu
Yarkapa,Thowar,Thowar,Roundu,Skardu
Hamatpa,Thowar,Thowar,Roundu,Skardu
podopa,Thowar,Thowar,Roundu,Skardu
Apo godoqpa,Thowar,Thowar,Roundu,Skardu
Mayonpa,Thowar,Thowar,Roundu,Skardu
Posonpa,Thowar,Thowar,Roundu,Skardu
bagyul,Thowar,Thowar,Roundu,Skardu
Malippa,Thowar,Thowar,Roundu,Skardu
Dangging,Thowar,Thowar,Roundu,Skardu
Aspipa,Thowar,Thowar,Roundu,Skardu
Salpa,Thowar,Thowar,Roundu,Skardu
Tolik,Thowar,Thowar,Roundu,Skardu
Thrbos,Thowar,Thowar,Roundu,Skardu
Mehdi Abad,Thowar,Thowar,Roundu,Skardu
Mangrong,Thowar,Thowar,Roundu,Skardu
Bopa,Thowar,Thowar,Roundu,Skardu
Shono,Thowar,Thowar,Roundu,Skardu
Gomo,Thowar,Thowar,Roundu,Skardu
Bano,Thowar,Thowar,Roundu,Skardu
Kisshaghas,Thowar,Thowar,Roundu,Skardu
Gomo,Lashithang,Thowar,Roundu,Skardu
Chiripa,Lashithang,Thowar,Roundu,Skardu
Lashithang,Lashithang,Thowar,Roundu,Skardu
Nanosharbi,Bilamik,Mendi,Roundu,Skardu
Nangi got,Bilamik,Mendi,Roundu,Skardu
Harda,Bilamik,Mendi,Roundu,Skardu
Hango,Bilamik,Mendi,Roundu,Skardu
Haji Choga,Bilamik,Mendi,Roundu,Skardu
Lashokpa,Bilamik,Mendi,Roundu,Skardu
Thorchay,Bilamik,Mendi,Roundu,Skardu
Bilamik,Bilamik,Mendi,Roundu,Skardu
Mirza Ali Gond,Bilamik,Mendi,Roundu,Skardu
Yolbu,Bansa,Mendi,Roundu,Skardu
Harpo Bala,Bansa,Mendi,Roundu,Skardu
Harpo Pain,Bansa,Mendi,Roundu,Skardu
Hamora,Bansa,Mendi,Roundu,Skardu
Shot Roundu,Bansa,Mendi,Roundu,Skardu
Bansa,Bansa,Mendi,Roundu,Skardu
Choliskam,Talu,Ganji,Roundu,Skardu
Talu,Talu,Ganji,Roundu,Skardu
Chogo Khar,Talu Broq,Ganji,Roundu,Skardu
Malyar,Talu Broq,Ganji,Roundu,Skardu
Talu Broq,Talu Broq,Ganji,Roundu,Skardu
Cholis kam,Ganji,Ganji,Roundu,Skardu
Ganji Bala,Ganji,Ganji,Roundu,Skardu
